abeta_uM,rep,uptake_mean,uptake_sem
0.0,0,0.7956878561885187,0.0008495827848779468
0.14285714285714285,0,0.7428718029256083,0.0008615266808445533
0.2857142857142857,0,0.6897230460840872,0.0008268770603883269
0.42857142857142855,0,0.6365025252288887,0.000845855306034291
0.5714285714285714,0,0.582673937579211,0.0011579968824817917
0.7142857142857142,0,0.5265859993144048,0.0009235097871181928
0.8571428571428571,0,0.4763776735330233,0.0009636134190217065
1.0,0,0.4220491940040193,0.0012066618851872312
1.1428571428571428,0,0.36802769466821794,0.0008305915104961942
1.2857142857142856,0,0.31271184774219657,0.0013099321080359677
1.4285714285714284,0,0.3000000000000001,1.0134903240813529e-17
1.5714285714285714,0,0.3000000000000001,1.0134903240813529e-17
1.7142857142857142,0,0.3000000000000001,1.0134903240813529e-17
1.857142857142857,0,0.3000000000000001,1.0134903240813529e-17
2.0,0,0.3000000000000001,1.0134903240813529e-17
0.0,1,0.7950951029000574,0.0010660259198993283
0.14285714285714285,1,0.7423831068215143,0.0010758259793104612
0.2857142857142857,1,0.68923941975388,0.0010396406907188546
0.42857142857142855,1,0.6365099051265682,0.0009324371667344676
0.5714285714285714,1,0.5812644114289386,0.001104649821209114
0.7142857142857142,1,0.5282193496283895,0.0010044524835320018
0.8571428571428571,1,0.4748078774300642,0.0010137393462434287
1.0,1,0.42328326724507453,0.0008678973450682885
1.1428571428571428,1,0.3666044032401175,0.0012328678477533585
1.2857142857142856,1,0.3173025229587465,0.0006450530309484417
1.4285714285714284,1,0.3000000000000001,1.0134903240813529e-17
1.5714285714285714,1,0.3000000000000001,1.0134903240813529e-17
1.7142857142857142,1,0.3000000000000001,1.0134903240813529e-17
1.857142857142857,1,0.3000000000000001,1.0134903240813529e-17
2.0,1,0.3000000000000001,1.0134903240813529e-17
0.0,2,0.7956343605818309,0.0009605344502485
0.14285714285714285,2,0.7426535382358581,0.0012092762184374368
0.2857142857142857,2,0.6897543565318383,0.000942904079484801
0.42857142857142855,2,0.6360746190600478,0.0008949797366107269
0.5714285714285714,2,0.583050572999917,0.0007639339073657484
0.7142857142857142,2,0.527175247884616,0.00149046782224518
0.8571428571428571,2,0.4767520824342002,0.0009097150019829052
1.0,2,0.4216002346439216,0.0010658881258759586
1.1428571428571428,2,0.36795388952389596,0.0011904483242594632
1.2857142857142856,2,0.31117930468994764,0.001355673355645029
1.4285714285714284,2,0.3000000000000001,1.0134903240813529e-17
1.5714285714285714,2,0.3000000000000001,1.0134903240813529e-17
1.7142857142857142,2,0.3000000000000001,1.0134903240813529e-17
1.857142857142857,2,0.3000000000000001,1.0134903240813529e-17
2.0,2,0.3000000000000001,1.0134903240813529e-17
